timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752795322.760,343.955,0.31013,1.87729,206861.00,4.83415,122261,54,-887.0000,46.0000,-4003.0000
1752795322.954,344.149,0.31136,1.87729,206471.00,4.85433,122239,54,-885.0000,49.0000,-4000.0000
1752795323.054,344.249,0.31136,1.87485,206471.00,4.84328,122296,54,-866.0000,41.0000,-4000.0000
1752795323.221,344.416,0.31136,1.87668,207494.00,4.81941,122310,54,-878.0000,53.0000,-3997.0000
1752795323.335,344.530,0.31258,1.87607,207965.00,4.80849,122367,54,-874.0000,56.0000,-4006.0000
1752795323.471,344.666,0.31197,1.87485,207184.00,4.82661,122383,54,-875.0000,49.0000,-3999.0000
1752795323.638,344.833,0.31136,1.87546,208046.00,4.80661,122403,54,-884.0000,47.0000,-3995.0000
1752795323.818,345.013,0.31136,1.87546,207494.00,4.81941,122474,54,-876.0000,55.0000,-4010.0000
1752795323.988,345.183,0.31074,1.87607,206552.00,4.81941,122513,54,-879.0000,50.0000,-4006.0000
1752795324.114,345.309,0.31074,1.87668,206552.00,4.84139,122415,54,-862.0000,46.0000,-3997.0000
1752795324.285,345.480,0.31013,1.87729,206471.00,4.84328,122451,54,-884.0000,46.0000,-4010.0000
1752795324.512,345.707,0.31074,1.87729,206081.00,4.85244,122476,54,-874.0000,39.0000,-4007.0000
1752795324.670,345.865,0.31074,1.87668,206310.00,4.84705,122507,54,-881.0000,55.0000,-4009.0000
1752795324.845,346.040,0.31074,1.87851,206001.00,4.85433,122537,54,-865.0000,49.0000,-4007.0000
1752795325.012,346.207,0.31197,1.87607,206081.00,4.85244,122592,54,-896.0000,36.0000,-3995.0000
1752795325.146,346.341,0.31197,1.87546,206942.00,4.83226,122661,54,-896.0000,36.0000,-3995.0000
1752795325.340,346.535,0.31136,1.87607,207023.00,4.83038,122478,54,-872.0000,53.0000,-3999.0000
1752795325.505,346.700,0.31319,1.87485,207575.00,4.81753,122517,54,-879.0000,54.0000,-4005.0000
1752795325.671,346.866,0.31197,1.87607,208682.00,4.81565,122522,54,-870.0000,50.0000,-4013.0000
1752795325.815,347.010,0.31258,1.87546,208682.00,4.79198,122543,54,-875.0000,44.0000,-4011.0000
1752795325.989,347.184,0.31136,1.87607,189561.00,4.82661,122603,54,-881.0000,35.0000,-3988.0000
1752795326.121,347.316,0.32540,1.86508,189561.00,5.27532,122641,54,-879.0000,49.0000,-4000.0000
1752795326.263,347.458,0.32540,1.86142,219372.00,4.55845,122676,54,-879.0000,35.0000,-4018.0000
1752795326.419,347.614,0.32601,1.86203,219944.00,4.54660,122745,54,-889.0000,52.0000,-3990.0000
1752795326.588,347.783,0.31990,1.86935,213538.00,4.68301,122770,54,-867.0000,73.0000,-4012.0000
1752795326.674,347.869,0.32295,1.86447,211857.00,4.72016,122619,54,-867.0000,73.0000,-4012.0000
1752795326.848,348.043,0.32662,1.86081,217663.00,4.59425,122669,54,-875.0000,53.0000,-3987.0000
1752795327.000,348.195,0.32723,1.85836,221178.00,4.52124,122667,54,-882.0000,68.0000,-4013.0000
1752795327.126,348.321,0.32845,1.85836,223126.00,4.48177,122733,54,-869.0000,53.0000,-3993.0000
1752795327.229,348.424,0.32540,1.86203,223215.00,4.47999,122736,54,-886.0000,61.0000,-3999.0000
1752795327.355,348.550,0.32723,1.86081,221488.00,4.51491,122753,54,-874.0000,51.0000,-3986.0000
1752795327.465,348.660,0.32662,1.86081,222816.00,4.48800,122830,54,-875.0000,56.0000,-4006.0000
1752795327.571,348.766,0.32601,1.86142,221974.00,4.50502,122859,54,-870.0000,52.0000,-3989.0000
1752795327.730,348.925,0.32601,1.86142,220516.00,4.53480,122709,54,-894.0000,45.0000,-3994.0000
1752795327.891,349.086,0.31929,1.86752,220341.00,4.53840,122721,54,-885.0000,53.0000,-4002.0000
1752795328.058,349.253,0.31746,1.86752,213312.00,4.68796,122724,54,-887.0000,46.0000,-3998.0000
1752795328.206,349.401,0.31868,1.86691,215142.00,4.65846,122753,54,-892.0000,44.0000,-3997.0000
1752795328.352,349.547,0.31807,1.86813,215142.00,4.64809,122762,54,-870.0000,45.0000,-3999.0000
1752795328.501,349.696,0.31929,1.86691,214747.00,4.65663,122833,54,-879.0000,64.0000,-4005.0000
1752795328.619,349.814,0.31990,1.86813,215481.00,4.64076,122854,54,-881.0000,56.0000,-4018.0000
1752795328.805,350.000,0.31990,1.86630,215396.00,4.64259,122883,54,-892.0000,51.0000,-4002.0000
1752795328.938,350.133,0.32051,1.86752,215396.00,4.64259,122719,54,-887.0000,62.0000,-3993.0000
1752795329.003,350.198,0.32051,1.86508,215396.00,4.64259,122671,54,-874.0000,41.0000,-3988.0000
1752795329.168,350.363,0.32295,1.86508,216837.00,4.61174,122650,54,-890.0000,53.0000,-3993.0000
1752795329.286,350.481,0.32295,1.86447,217009.00,4.60809,122613,54,-878.0000,49.0000,-4001.0000
1752795329.439,350.634,0.32234,1.86386,218232.00,4.61468,122639,54,-869.0000,51.0000,-4008.0000
1752795329.587,350.782,0.32357,1.86325,218232.00,4.58227,122634,54,-888.0000,42.0000,-4009.0000
1752795329.767,350.962,0.32295,1.86386,218232.00,4.58227,122701,54,-880.0000,46.0000,-3989.0000
1752795329.927,351.122,0.32540,1.86203,220341.00,4.59243,122701,54,-889.0000,45.0000,-3992.0000
1752795330.040,351.235,0.32479,1.86386,220341.00,4.53840,122615,54,-878.0000,52.0000,-3998.0000
1752795330.143,351.338,0.32479,1.86203,218318.00,4.58046,122464,54,-868.0000,62.0000,-4003.0000
1752795330.310,351.505,0.32540,1.86142,219547.00,4.55483,122409,54,-874.0000,64.0000,-3999.0000
1752795330.438,351.633,0.32601,1.86142,220604.00,4.53300,122410,54,-880.0000,43.0000,-4004.0000
1752795330.594,351.789,0.32601,1.86020,221664.00,4.51132,122414,54,-878.0000,46.0000,-3998.0000
1752795330.715,351.910,0.32662,1.86020,222549.00,4.49338,122424,54,-877.0000,54.0000,-3993.0000
1752795330.883,352.078,0.32845,1.86020,222151.00,4.50143,122456,54,-862.0000,46.0000,-3996.0000
1752795331.030,352.225,0.32784,1.86020,222240.00,4.49964,122495,54,-885.0000,61.0000,-4004.0000
1752795331.181,352.376,0.32845,1.86020,222151.00,4.50143,122335,54,-870.0000,63.0000,-4000.0000
1752795331.313,352.508,0.32906,1.85836,223304.00,4.47820,122285,54,-872.0000,44.0000,-3999.0000
