timestamp,elapsed_seconds,io2,io3, resistance,eda,ir,bpm,accel_x,accel_y,accel_z
1752796485.873,1507.068,0.30586,1.88034,202558.00,4.93685,113377,42,-664.0000,-103.0000,-4026.0000
1752796486.048,1507.243,0.30769,1.87912,203024.00,4.92551,113430,42,-674.0000,-87.0000,-4036.0000
1752796486.185,1507.380,0.30830,1.87912,204195.00,4.89726,113456,42,-672.0000,-86.0000,-4033.0000
1752796486.368,1507.563,0.30830,1.87973,203728.00,4.90850,113386,42,-671.0000,-84.0000,-4046.0000
1752796486.499,1507.694,0.30891,1.87912,204116.00,4.89916,113296,42,-676.0000,-80.0000,-4045.0000
1752796486.655,1507.850,0.30891,1.87912,204354.00,4.89345,113309,42,-673.0000,-84.0000,-4034.0000
1752796486.730,1507.925,0.31013,1.87790,204354.00,4.89345,113313,42,-673.0000,-84.0000,-4034.0000
1752796486.838,1508.033,0.31074,1.87790,205451.00,4.86732,113354,42,-662.0000,-70.0000,-4034.0000
1752796486.963,1508.158,0.31074,1.87851,205531.00,4.86543,113366,42,-678.0000,-76.0000,-4038.0000
1752796487.119,1508.314,0.31013,1.87729,206471.00,4.84328,113484,42,-672.0000,-89.0000,-4042.0000
1752796487.249,1508.444,0.31074,1.87729,206310.00,4.84705,113549,42,-654.0000,-77.0000,-4039.0000
1752796487.396,1508.591,0.31074,1.87607,206471.00,4.84328,113592,42,-672.0000,-87.0000,-4037.0000
1752796487.526,1508.721,0.31136,1.87668,207737.00,4.83226,113354,42,-689.0000,-83.0000,-4046.0000
1752796487.610,1508.805,0.31197,1.87485,207737.00,4.81377,113325,42,-669.0000,-79.0000,-4036.0000
1752796487.753,1508.948,0.31197,1.87424,208046.00,4.80661,113375,42,-689.0000,-109.0000,-4027.0000
1752796487.889,1509.084,0.31319,1.87546,208128.00,4.80473,113410,42,-667.0000,-86.0000,-4034.0000
1752796488.008,1509.203,0.31319,1.87485,208519.00,4.79573,113441,42,-656.0000,-90.0000,-4050.0000
1752796488.123,1509.318,0.31380,1.87241,209318.00,4.77740,113488,42,-664.0000,-91.0000,-4029.0000
1752796488.265,1509.460,0.31319,1.87302,210184.00,4.75773,113568,42,-667.0000,-72.0000,-4033.0000
1752796488.369,1509.564,0.31380,1.87179,210658.00,4.78823,113704,42,-672.0000,-69.0000,-4027.0000
1752796488.472,1509.667,0.31441,1.87424,210658.00,4.74702,113728,42,-677.0000,-84.0000,-4032.0000
1752796488.618,1509.813,0.31319,1.87302,210679.00,4.79347,113461,42,-674.0000,-90.0000,-4033.0000
1752796488.709,1509.904,0.31563,1.87363,210679.00,4.74655,113419,42,-672.0000,-82.0000,-4032.0000
1752796488.819,1510.014,0.31563,1.87241,210348.00,4.75401,113477,42,-679.0000,-88.0000,-4038.0000
1752796488.928,1510.123,0.31624,1.87057,211381.00,4.73078,113482,42,-664.0000,-87.0000,-4035.0000
1752796489.052,1510.247,0.31624,1.87179,211940.00,4.71831,113535,42,-661.0000,-81.0000,-4043.0000
1752796489.205,1510.400,0.31563,1.87057,211857.00,4.74144,113617,42,-679.0000,-86.0000,-4047.0000
1752796489.294,1510.489,0.29976,1.88584,211857.00,4.72016,113647,42,-679.0000,-86.0000,-4047.0000
1752796489.471,1510.666,0.30098,1.88584,198689.00,5.03297,113747,42,-659.0000,-88.0000,-4052.0000
1752796489.627,1510.822,0.30159,1.88339,196920.00,5.07819,113781,42,-678.0000,-81.0000,-4041.0000
1752796489.811,1511.006,0.30403,1.88523,199073.00,4.99614,113457,42,-670.0000,-84.0000,-4051.0000
1752796489.915,1511.110,0.31013,1.87790,199073.00,5.02327,113500,42,-663.0000,-84.0000,-4046.0000
1752796490.029,1511.224,0.31197,1.87607,204513.00,4.88965,113535,42,-668.0000,-92.0000,-4044.0000
1752796490.161,1511.356,0.31258,1.87485,207103.00,4.82850,113560,42,-667.0000,-81.0000,-4032.0000
1752796490.307,1511.502,0.31380,1.87179,208128.00,4.80473,113578,42,-672.0000,-83.0000,-4043.0000
1752796490.485,1511.680,0.31441,1.87424,210658.00,4.74702,113635,42,-672.0000,-75.0000,-4049.0000
